release_id,estimation_period,frame_vintage,universe,geography_level,geography_id,concept,estimand,estimate,unit,weighted_numerator,weighted_denominator,coverage,design_id,weight_semantics,uncertainty_status
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,38,poverty,fgt2,0.1899049060120337,proportion,408.48545283188446,2151.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,38,indigence,fgt0,0.2361402598409515,proportion,507.9376989178867,2151.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,38,indigence,fgt1,0.15230410607591638,proportion,327.60613216929613,2151.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,38,indigence,fgt2,0.1280314906384202,proportion,275.39573636324184,2151.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,42,poverty,fgt0,0.3563278052215976,proportion,455.38693507320176,1278.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,42,poverty,fgt1,0.1847810009443497,proportion,236.15011920687894,1278.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,42,poverty,fgt2,0.13480695054232567,proportion,172.28328279309218,1278.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,42,indigence,fgt0,0.1547663963126663,proportion,197.79145448758754,1278.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,42,indigence,fgt1,0.10294037756527079,proportion,131.55780252841606,1278.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,42,indigence,fgt2,0.08804690836755115,proportion,112.52394889373036,1278.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,46,poverty,fgt0,0.5035952826517738,proportion,570.0698599618079,1132.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,46,poverty,fgt1,0.2667355296354841,proportion,301.944619547368,1132.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,46,poverty,fgt2,0.19295492622180033,proportion,218.42497648307798,1132.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,46,indigence,fgt0,0.21512407134165404,proportion,243.52044875875237,1132.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,46,indigence,fgt1,0.13966982018662447,proportion,158.1062364512589,1132.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,46,indigence,fgt2,0.11787712616093435,proportion,133.4369068141777,1132.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
